gene_id,"(MEAN) Mated females (Rogers et al., 2009) virgin 0h","(MEAN) Mated females (Rogers et al., 2009) mated 2h","(MEAN) Mated females (Rogers et al., 2009) mated 6h","(MEAN) Mated females (Rogers et al., 2009) mated 24h"
AGAP001950,66.40637474356456,62.16539983454941,75.35422637074203,65.97190456277059
AGAP012636,,,,
AGAP012120,50.76633111191292,46.800217094079336,53.37380643885804,45.71238965686989
AGAP004838,,,,
AGAP001962,25.939162395566452,27.307114088885093,25.03127725030828,25.9964606795288
AGAP011066,,,,
AGAP004840,112.65168540763008,120.08536650449082,126.96614118439899,125.67959147440546
AGAP003963,36.031824462316386,32.9032954248547,42.06835478554287,38.88135666919226
AGAP004843,209.9395247073344,199.14655723982793,222.67461910075733,200.64387280080965
AGAP029073,,,,
AGAP004845,146.72507699964146,115.07840945231038,137.65639323789418,152.19564887888671
AGAP004846,303.2618168430424,240.75467908486857,237.414925150289,247.87002909200325
AGAP006089,,,,
AGAP004849,196.6211702298347,158.6873520971892,215.8616983927535,201.99464590417693
AGAP010209,23.088462185036036,21.638671756108096,21.88408322061532,25.029541302960713
AGAP004851,42.702095702142515,61.77494744200305,55.7488423494438,71.18641101356502
AGAP010327,136.84842969775542,131.28362864482463,136.11448290777454,146.0315810072182
AGAP004853,260.80174132791393,249.1671529532511,266.80034558254494,255.61580850766723
AGAP004854,71.84720375804541,64.10434188590217,61.41389782388429,72.12979107906655
AGAP004855,613.5044767221683,659.2141317191257,547.3526506743688,632.7170851508367
AGAP011745,53.10110489733251,53.692669846409714,52.79648539437328,45.102121343104216
AGAP012619,,,,
AGAP004859,475.6494695408687,559.8060335364643,511.8604643794337,381.9896442333834
AGAP004860,3179.9760840542626,2274.709898668336,2092.00162951438,3052.6225093827175
AGAP004269,159.46987476882103,165.08744186832138,176.58878715863176,157.52823315265408
AGAP004862,10.383582989062587,10.500710246412448,11.104813803221571,10.752411091488028
AGAP004863,23.034550977133115,24.293974425543574,22.598680619319442,23.069556098202323
AGAP004864,138.1752237964864,140.59680549184148,144.70825202068121,131.33673631842186
AGAP009915,135.43574720414614,125.77023546211517,119.51103485445101,143.93630597978856
AGAP012018,76.6772541923633,69.54353205357702,74.58751909453332,75.30196414862348
AGAP004867,645.07062268483,658.4448755046984,742.2550317213991,657.9090030632901
AGAP004868,588.8148187300351,516.4911952126603,611.1756497780259,611.4003203856307
AGAP004869,24.609612169762368,24.778324272856455,25.169358824572267,26.337260778835617
AGAP009707,7.878030809103894,8.21234022848839,8.308454007365942,7.898324928913318
AGAP011933,94.88905817436073,87.22299818166226,82.61432111260511,104.8248166840938
AGAP002808,261.8414811249196,264.33435736568964,314.07315880396186,252.51059842625625
AGAP004872,20.919116009373514,22.154532014682882,22.053410625487416,23.695043082846592
AGAP004875,,,,
AGAP004876,9.608525189268429,9.693225029034876,9.246645094089086,10.342024209428871
AGAP004877,2124.341425057512,2111.4961481510472,1957.4366745508519,1733.793675276023
AGAP005878,94.99798014800177,105.47933802891671,87.07741905148418,110.17426065901512
AGAP004880,348.9387560605716,309.081452784954,299.4317590767557,199.4080844801183
AGAP010718,1155.619229245676,1106.3559607878196,1337.2619216624366,1216.6513958157182
AGAP004882,390.6790046535647,385.1126650396224,421.5539125269161,377.1252347017358
